연도,회담분야,회담명,개최회담,개최국가,개최지역,개최시설,회담시작일자,회담종료일자,회담일수
1992,정치,남북고위급회담 핵통제공동위원회 위원접촉,남북고위급회담 핵통제공동위원회 제5차 위원접촉,중립,판문점 중립,중감위회의실,1992-09-30,1992-09-30,1
1992,정치,남북고위급회담 핵통제공동위원회 위원접촉,남북고위급회담 핵통제공동위원회 제6차 위원접촉,중립,판문점 중립,중감위회의실,1992-10-14,1992-10-14,1
1992,정치,남북고위급회담 핵통제공동위원회 위원접촉,남북고위급회담 핵통제공동위원회 제7차 위원접촉,중립,판문점 중립,중감위회의실,1992-10-29,1992-10-29,1
1992,정치,남북고위급회담 핵통제공동위원회 위원접촉,남북고위급회담 핵통제공동위원회 제8차 위원접촉,중립,판문점 중립,중감위회의실,1992-12-14,1992-12-14,1
1992,정치,남북고위급회담 정치분과위원회 위원장접촉,남북고위급회담 정치분과위원회 제1차 위원장접촉,중립,판문점 남측,평화의집,1992-07-10,1992-07-10,1
1992,정치,남북고위급회담 정치분과위원회 위원장접촉,남북고위급회담 정치분과위원회 제2차 위원장접촉,중립,판문점 북측,통일각,1992-09-04,1992-09-04,1
1992,정치,남북고위급회담 정치분과위원회 위원장접촉,남북고위급회담 정치분과위원회 제3차 위원장접촉,중립,판문점 남측,평화의집,1992-09-08,1992-09-08,1
1992,정치,남북고위급회담 군사분과위원회 위원장접촉,남북고위급회담 군사분과위원회 위원장접촉,중립,판문점 북측,통일각,1992-07-23,1992-07-23,1
1992,정치,남북고위급회담 군사분과위원회 위원접촉,남북고위급회담 군사분과위원회 제1차 위원접촉,중립,판문점 중립,중감위회의실,1992-08-03,1992-08-03,1
1992,정치,남북고위급회담 군사분과위원회 위원접촉,남북고위급회담 군사분과위원회 제2차 위원접촉,중립,판문점 중립,중감위회의실,1992-08-12,1992-08-12,1
1992,정치,남북고위급회담 군사분과위원회 위원접촉,남북고위급회담 군사분과위원회 제3차 위원접촉,중립,판문점 중립,중감위회의실,1992-08-20,1992-08-20,1
1992,정치,남북고위급회담 교류·협력분과위원회 위원장접촉,남북고위급회담 교류·협력분과위원회 위원장접촉,중립,판문점 북측,통일각,1992-09-07,1992-09-07,1
1992,정치,남북고위급회담 이인모문제와 이산가족면회소설치문제 협의 대표접촉,남북고위급회담 이인모문제와 이산가족면회소설치문제 협의 제1차 대표접촉,중립,판문점 북측,통일각,1992-10-01,1992-10-01,1
