년대,날짜,내용
2010년대,2018-01-29,"北, 금강산 남북 합동문화공연(2.4 예정) 취소 통보 - 우리측 언론들이 북한의 ‘진정 어린 조치’들을 모독하면서, 북한 ‘내부의 경축행사까지 비난’해 나선 만큼 행사를 ‘취소하지 않을 수 없다’고 언급"
2010년대,2018-01-30,"정부, 北 금강산 문화행사 취소 통보(1.29)에 대한 유감 입장을 북측에 통보"
2010년대,2018-01-31,"남북, 마식령스키장 공동훈련(~2.1)"
2010년대,2018-01-31,"北, 금강산 합동문화공연 취소 원인은 ‘남측 보수세력’ 등의 ‘동족대결 망동’이라고 주장(조선신보)"
2010년대,2018-01-31,"北, 제2차 한미 고위급 확장억제전략회의체 회의(1.17)를 비난하며 남북관계 개선의 불씨를 꺼버릴 수 있다고 위협(조선중앙통신)"
2010년대,2018-02-01,北 원길우 체육성 부상 등 선수단 32명 방남(원산 갈마공항-&gt;양양공항)
2010년대,2018-02-02,"대통령, ""평창올림픽을 계기로 한 남북대화 개선의 모맨텀이 향후 지속돼 한반도 평화정착에 기여하길 희망, 美 펜스 부통령 방한이 이를 위한 중요한 전기가 되길 바람"""
2010년대,2018-02-04,"北, 평창올림픽 참석 고위급 대표단으로 단장 김영남 최고인민회의 상임위원장 외 단원 3명, 지원인원 18명 등 2.9~11 방남할 예정이라고 통보"
2010년대,2018-02-04,"北 장웅 IOC 위원, IOC 총회 및 평창올림픽 참가차 방남"
2010년대,2018-02-04,"남북 女아이스하키 단일팀, 평가전(對 스웨덴) 3:1 패배(인천 선학국제빙상장)"
2010년대,2018-02-05,北 예술단 선발대 23명 방남(경의선 육로 이용)
2010년대,2018-02-06,北 현송월 삼지연관현악단 단장 등 예술단 본진 114명 방남(만경봉-92호 이용)
2010년대,2018-02-07,"北 김일국 체육상 등 민족올리픽위원회(NOC) 관계자, 응원단, 태권도시범단, 기자단 등 280명 방남(경의선 육로 이용)"
2010년대,2018-02-07,"北, 2.9~11 방남 예정인 고위급 대표단 명단 총 23명 통보"
2010년대,2018-02-07,"국회, ‘2018 평창동계올림픽대회 및 동계패럴림픽대회의 성공적 개최와 올림픽 정신 구현을 위한 국회 특별 결의문’ 채택"
2010년대,2018-02-08,평창동계올림픽 北 선수단 입촌식
2010년대,2018-02-08,조총련 응원단(170여명) 입국 시작(1~3차로 나누어 각각 4박5일 일정 방문)
2010년대,2018-02-08,"北, 軍 창건 70주년 기념 열병식 진행 및 녹화중계"
2010년대,2018-02-08,"北 예술단(삼지연관현악단) 강릉 공연(20시, 강릉아트센터)"
2010년대,2018-02-09,"개성만월대 평창특별전 개막(평창 상지대관령고, 2.9~3.18동안 전시)"
2010년대,2018-02-09,"北 평창올림픽 고위급 대표단(22명) 방남(北 전용기 이용, 인천공항 도착)"
2010년대,2018-02-09,"北 김영남 최고인민회의 상임위원장, 대통령 주최 평창올림픽 개회식 사전 리셉션 참석"
2010년대,2018-02-09,"남북 태권도시범단 합동공연(개회식 식전행사, 평창 올림픽 스타디움)"
2010년대,2018-02-09,"남북 선수단, 평창 동계올림픽 개회식 동시 입장"
2010년대,2018-02-10,남북 태권도시범단 합동공연(속초 강원진로교육원)
2010년대,2018-02-11,"北 예술단(삼지연관현악단) 서울 공연(19시, 국립극장)"
2010년대,2018-02-11,"北 고위급 대표단 귀환(北 전용기 이용, 인천공항 출발)"
2010년대,2018-02-12,北 예술단(삼지연관현악단) 귀환(경의선 육로)
2010년대,2018-02-12,남북 태권도시범단 합동공연(서울시청)
2010년대,2018-02-14,北 태권도시범단 귀환(경의선 육로 이용)
2010년대,2018-02-14,남북 태권도시범단 합동공연(MBC 상암홀)
2010년대,2018-02-18,"北 장웅 IOC 위원, 출국"
2010년대,2018-02-22,"北, 평창올림픽 폐회식 참가 고위급 대표단 총8명 2.25~27 파견 계획 통보"
2010년대,2018-02-25,"北, 평창올림픽 폐회식 참가 고위급 대표단 8명(단장 김영철 당 중앙위 부위원장) 방남(경의선 육로 이용)"
2010년대,2018-02-25,"대통령, 평창 동계올림픽 폐회식 참석"
2010년대,2018-02-26,"北 NOC 대표단, 선수단, 응원단, 기자단 등 299명 귀환(경의선 육로 이용)"
2010년대,2018-02-27,北 고위급 대표단 귀환(경의선 육로 이용)
2010년대,2018-02-27,「평창 동계패럴림픽대회」 실무회담 개최(판문점 북측지역 통일각)
2010년대,2018-03-01,"대통령, 美 트럼프 대통령에게 조만간 대북특사 파견 의사를 전달(한미 정상간 통화)"
2010년대,2018-03-04,北 패럴림픽 참가 선수단 및 대표단 24명 명단 통보
2010년대,2018-03-04,"청와대, 대북특별사절단 방북 계획 발표"
2010년대,2018-03-05,"대통령 대북특별사절단, 평양 방문(~3.6, 서해 직항로 이용)"
2010년대,2018-03-07,北 패럴림픽 참가 선수단 및 대표단 24명 방남(경의선 육로 이용)
2010년대,2018-03-08,"남북 선수, 평창 동계패럴림픽 개회식 공동 성화봉송"
2010년대,2018-03-15,北 패럴림픽 참가 선수단 및 대표단 24명 귀환(경의선 육로 이용)
2010년대,2018-03-15,"청와대, 남북정상회담 준비위원회 구성 및 운영 방안 발표"
2010년대,2018-03-16,남북정상회담 준비위원회 제1차 회의(청와대 여민1관 소회의실)
2010년대,2018-03-16,"北, 예술단 평양공연 문제 협의를 위한 실무접촉을 3.19 판문점 통일각에서 개최할 것을 제의"
2010년대,2018-03-17,"정부, 예술단 평양공연 문제 협의를 위한 실무접촉을 3.20 개최할 것을 수정 제의"
2010년대,2018-03-20,우리측 예술단 평양공연 문제 협의를 위한 실무접촉 개최(판문점 북측지역 통일각)
2010년대,2018-03-21,남북정상회담 준비위원회 제2차 회의(청와대)
2010년대,2018-03-22,"예술단 평양 공연을 위한 사전 점검단 방북(~24, 베이징 경유 항공편 이용)"
2010년대,2018-03-29,「2018 남북정상회담을 위한 남북고위급회담」 개최(판문점 북측지역 통일각)
2010년대,2018-03-29,"예술단, 태권도시범단 평양공연 선발대 66명 방북(서해직항로 이용)"
2010년대,2018-03-29,"한은경 부회장 등 北 축구협회 관계자 4명, 동아시아축구연맹(EAFF) 집행위원회 총회(3.30, 부산) 참석차 방남(~31)"
2010년대,2018-03-30,남북정상회담 준비위원회 제3차 회의(청와대)
2010년대,2018-03-31,"예술단, 태권도시범단 평양공연 본진 120명 방북(서해직항로 이용)"
2010년대,2018-04-01,우리 태권도시범단 단독공연(평양 태권도전당)
2010년대,2018-04-01,우리 예술단 단독공연(동평양대극장)
2010년대,2018-04-02,남북 태권도시범단 합동공연(평양대극장)
2010년대,2018-04-03,남북 예술단 합동공연(평양 류경정주영체육관)
2010년대,2018-04-05,남북정상회담 준비위원회. 제4차 회의(청와대)
2010년대,2018-04-05,"「2018 남북정상회담을 위한 제1차 의전,경호,보도 실무회담」 개최(판문점 우리측 지역 평화의집)"
2010년대,2018-04-07,「2018 남북정상회담을 위한 제1차 통신 실무회담」 개최(판문점 북측 지역 통일각)
2010년대,2018-04-11,남북정상회담 준비위원회 제5차 회의(청와대)
2010년대,2018-04-14,「2018 남북정상회담을 위한 제2차 통신 실무회담」 개최(판문점 북측 지역 통일각)
2010년대,2018-04-17,「2018 남북정상회담」 국민과 함께하는 온라인 플랫폼 오픈
2010년대,2018-04-18,"「2018 남북정상회담을 위한 제2차 의전,경호,보도 실무회담」 개최(판문점 북측 지역 통일각)"
2010년대,2018-04-19,남북정상회담 준비위원회 제6차 회의(청와대)
2010년대,2018-04-23,"軍, 남북정상회담 계기 군사적 긴장 완화 및 평화로운 회담 분위기 조성을 위해 4.23 0시부로 군사분계선 일대 대북 확성기 방송 중단 발표"
2010년대,2018-04-23,"「2018 남북정상회담을 위한 제3차 의전,경호,보도 실무회담」 개최(판문점 북측 지역 통일각)"
2010년대,2018-04-27,"「2018 남북정상회담」 개최 및 「한반도의 평화와 번영, 통일을 위한 판문점 선언」 채택(판문점 우리측 지역 평화의집)"
2010년대,2018-04-30,"北, 북남 표준시 통일을 위해 5.5부터 30분 앞당긴 표준시 적용 발표(최고인민회의 상임위 정령)"
2010년대,2018-05-01,"軍, 대북확성기 철거(~4)"
2010년대,2018-05-03,정부 판문점선언 이행추진위원회 1차회의 개최
2010년대,2018-05-04,"남북, 2018 탁구 세계선수권대회(스웨덴)에서 여자 단일팀 결성, 일본과 4강전 실시"
2010년대,2018-05-09,"김정은 위원장, 폼페이오 美 국무장관 접견(조선중앙통신, 조선중앙TV)"
2010년대,2018-05-10,"트럼프 美 대통령, 송환된 미국인 억류자 3명 공항 마중 및 북미정상회담 6.12 싱가포르 개최 발표"
2010년대,2018-05-12,"北, 5.23~25 북부 핵실험장 폐기 계획 발표(외무성 공보)"
2010년대,2018-05-15,"北, 5.23~25 진행되는 북부 핵실험장 폐기의식에 남측 1개 통신사, 1개 방송사의 기자를 각각 4명씩 초청한다고 통지"
2010년대,2018-05-23,"우리 기자단(MBC, 뉴스1 각각 4명), 정부 수송기를 이용하여 방북(성남-&gt;원산)"
2010년대,2018-05-24,"北, 함경북도 길주군 풍계리 핵실험장 폐기, 국제 기자단에 공개"
2010년대,2018-05-26,2018 제2차 남북정상회담(판문점 북측 지역 통일각)
2010년대,2018-05-30,"北 김영철 국무위원회 부위원장, 미국 방문(~6.2)"
2010년대,2018-06-01,「판문점선언」 이행을 위한 남북고위급회담 진행(판문점 우리측 지역 평화의집)
2010년대,2018-06-07,"국제철도협력기구(OSJD), 우리나라의 정회원 가입 결정 - 북한의 찬성표 행사로 가입 조건인 ‘기존 회원국의 만장일치 찬성’ 충족"
2010년대,2018-06-08,"남북공동연락사무소 추진단(단장 천해성 통일부차관 외 14명), 시설점검차 개성공단 방문"
2010년대,2018-06-11,"정부, 이산가족 대상 전면적 생사확인, 고향방문 및 영상편지 수요조사 실시(~8.10)"
2010년대,2018-06-12,북미정상회담 개최(싱가포르 센토사 섬)
2010년대,2018-06-14,남북장성급군사회담 개최(판문점 북측 지역 통일각)
2010년대,2018-06-18,남북체육회담 개최(판문점 남측 지역 평화의집)
2010년대,2018-06-19,"정부, 남북공동연락사무소 보수공사 준비인력을 개성공단에 출퇴근 형식으로 파견(~22)"
2010년대,2018-06-22,남북적십자회담 개최(금강산)
2010년대,2018-06-25,"남북, 분과회담 개최 일정에 합의(판문점 연락채널)"
2010년대,2018-06-25,"남북, 동,서해지구 군통신선 복구를 위한 「남북 통신실무접촉」 개최(경의선 남북출입사무소)"
2010년대,2018-06-26,남북 철도협력 분과회담 개최(판문점 남측 지역 평화의집)
2010년대,2018-06-27,"정부, 이산가족 상봉행사 준비를 위한 시설점검단 금강산 파견(~29)"
2010년대,2018-06-28,남북 도로협력 분과회담 개최(판문점 북측 지역 통일각)
2010년대,2018-06-28,"남·북·아시아올림픽평의회(OCA)·아시안게임조직위원회, 2018 아시안게임 3개 종목(카누, 조정, 여자농구)에서 남북 단일팀 구성 합의(인도네시아 자카르타)"
2010년대,2018-07-01,"남북, 서해 해상 ‘국제상선공통망’운용 정상화"
2010년대,2018-07-02,"정부, 남북공동연락사무소 개설을 위한 개보수 공사 개시"
2010년대,2018-07-03,"남북통일농구경기대회(~6, 평양)"
2010년대,2018-07-03,"남북, 판문점에서 「2018년 8.15 계기 이산가족 상봉」 후보자(우리측 250명, 북측 200명) 생사확인 의뢰서 교환"
2010년대,2018-07-04,남북산림협력 분과회담(판문점 남측 지역 평화의집)
2010년대,2018-07-06,폼페이오 美 국무장관 방북(~7)
2010년대,2018-07-09,"정부, 이산가족면회소 개보수 공사 시작"
2010년대,2018-07-12,"트럼프 美 대통령, 북미간 아주 큰 진전이 이뤄지고 있다고 언급하면서 김정은 위원장의 7.6일자 친서 공개(트위터)"
2010년대,2018-07-14,남·북·러 공동세미나(北 나선시) - 세미나 참석차 송영길 북방경제협력위원장 등 11명 방북(7.13~14)
2010년대,2018-07-15,"북미, 미군 유해송환 장성급회담 개최(판문점)"
2010년대,2018-07-15,"北 선수단, 국제탁구연맹(ITTF) 투어대회인 ‘코리아오픈(7.17~22, 대전)’ 참가차 방남"
2010년대,2018-07-16,"북미, 미군 유해송환 실무회담 개최(판문점)"
2010년대,2018-07-16,서해 군통신선 완전 복구
2010년대,2018-07-16,김홍걸 민화협 대표상임의장 등 5명 방북(~19)
2010년대,2018-07-19,판문점선언 이행추진위원회 제3차 회의
2010년대,2018-07-20,"남북, 동해선 북측 연결구간(금강산청년역-군사분계선) 공동점검 및 실무협의"
2010년대,2018-07-24,"남북, 경의선 북측 연결구간(개성역-군사분계선) 공동점검 및 「남북 철도 공동연구조사단 제1차 회의」 개최"
2010년대,2018-07-27,"北, 미군 유해 55구 송환(원산)"
2010년대,2018-07-29,"아시아경기대회 단일팀 참가 종목(카누, 조정, 농구) 북한 선수단 34명 방남"
2010년대,2018-07-31,제9차 남북장성급군사회담 개최(판문점 남측 지역 평화의집)
2010년대,2018-08-01,"트럼프 美 대통령, 김정은 위원장의 천서를 받은 사실을 공개(트위터)"
2010년대,2018-08-01,"통일부 차관, 금강산 이산가족 상봉 시설 개보수 현장 방문"
2010년대,2018-08-04,"남북, 8.15계기 이산가족 상봉행사 최종 상봉 대상자 명단 교환"
2010년대,2018-08-09,남북철도공동연구조사단 제2차 회의(경의선 남북출입사무소)
2010년대,2018-08-10,국제유소년축구대회 참석인원 방북(~19)
2010년대,2018-08-10,"北 노동자 축구대표단 방남(~12, 서울)"
2010년대,2018-08-13,제4차 남북고위급회담 개최(판문점 북측 지역 통일각)
2010년대,2018-08-18,"남북, 아시안게임 개회식 공동입장(인도네시아 자카르타)"
2010년대,2018-08-20,"제21차 이산가족 상봉행사(~26, 금강산)"
2010년대,2018-08-22,"남북, 8.15 73주년 기념 「범민족 평화포럼」 참가(~24, 중국 선양)"
2010년대,2018-09-05,"대통령 특사단 방북, 김정은 국무위원장과 면담 및 대통령 친서 전달"
2010년대,2018-09-11,"정부, 「판문점선언」 비준 동의안 국무회의 의결 및 국회 제출"
2010년대,2018-09-13,남북 군사실무회담 개최(판문점 북측 지역 통일각)
2010년대,2018-09-14,남북공동연락사무소 개소(개성)
2010년대,2018-09-18,「2018 남북정상회담 평양」 개최
2010년대,2018-09-20,"남북, 유도 세계선수권대회 공동 출전(아제르바이잔 바투)"
2010년대,2018-10-01,"남북, JSA 및 유해발굴 시범지역 내 지뢰·폭발물 제거 작업 개시"
2010년대,2018-10-07,"폼페이오 美 국무장관, 김정은 위원장 면담 및 오찬(평양), 이후 문재인 대통령 예방(서울)"
2010년대,2018-10-12,남북군사실무접촉(판문점 JSA 군사분계선상 군정위 회의실)
2010년대,2018-10-15,9월 평양공동선언 이행을 위한 남북고위급회담 개최(판문점 평화의집)
2010년대,2018-10-22,"남북, 개성 만월대 공동발굴 재개"
2010년대,2018-10-25,"제5회 아리스포츠컵 국제유소년축구대회 北 선수단 참가차 방남(~11.3, 춘천·인제)"
2010년대,2018-10-26,남북장성급군사회담(판문점 북측 지역 통일각)
2010년대,2018-10-30,"세계태권도연맹(WT) 총재단 및 시범단, 태권도 시범공연차 방북(~11.3, 평양)"
2010년대,2018-11-18,금강산관광 20주년 기념행사(금강산)
2010년대,2018-12-08,"남북, 동해선 철도 현지조사 실시"
2010년대,2018-12-30,"北 김정은 위원장, 문재인 대통령에게 친서 전달"
2010년대,2019-01-10,"남북단일팀, 제26회 세계남자핸드볼선수권대회 참가"
2010년대,2019-01-19,남·북·미 실무협의(스웨덴)
2010년대,2019-02-08,"현대아산, 창립 20주년 기념행사 개최(금강산)"
2010년대,2019-02-27,제2차 북미정상회담(베이남 하노이)
2010년대,2019-03-22,"北, 남북공동연락사무소 철수"
2010년대,2019-03-25,"北, 남북공동연락사무소 일부인원 복귀 및 연락대표 협의 재개"
2010년대,2019-04-03,국내 이산가족 화상상봉자 13개소 개보수 시작
2010년대,2019-04-30,우리측 지역 이산가족 화상상봉장 13개소 개보수 완료
2010년대,2019-06-07,남북공동연락사무소 남측 소장에 서호 통일부차관 임명
2010년대,2019-06-11,이희호 여사 서거 관련 장례위원회 위원장 명의 부고문 전달
2010년대,2019-06-12,"김여정 조선노동당 제1부부장, 이희호 여사 유가족 측에 김정은 위원장 조의문·조화 전달"
2010년대,2019-06-30,남·북·미 회동(판문점 자유의집)
2010년대,2019-07-06,"류미영 前 천도교청우당 중앙위원회 위원장 子 최인국 선생 평양 도착(7.7, 우리민족끼리)"
2020년대,2020-01-21,"국무회의, ‘2032 서울·평양 올림픽 공동유치’ 의결"
2020년대,2020-01-22,"통일부 장관, ‘제36회 망향경모제’ 참석"
2020년대,2020-01-30,"금강산국제관광국, 금강산 관련 통일부 앞 통지문 전달 - ""바이러스 전염 위험을 방지하기 위해 귀측의 금강산지구 시설철거 일정을 당분간 연기하기로 함"""
2020년대,2020-01-30,"남북, 연락대표 협의를 통해 신종 코로나바이러스 위험이 완전히 해소될 때까지 남북공동연락사무소 잠정 중단"
2020년대,2020-06-09,연락사무소 등 남북간 통신선 연결 불통
2020년대,2020-06-16,"北, 개성 남북공동연락사무소 폭파"
2020년대,2020-11-04,판문점 견학 재개 및 판문점 견학지원센터 개소
2020년대,2020-11-28,‘디엠지(DMZ) 평화의 길’ 파주구간 재개
2020년대,2020-12-15,코로나19 방역 강화를 위해 판문점 견학 잠정 중단
2020년대,2021-04-05,"北 올림픽위원회 총회(3.25)에서 도쿄올림픽 불참 결정(4.6, 체육성 홈페이지 「조선체육」)"
2020년대,2021-04-06,「2021년 이산가족 실태조사」 착수
2020년대,2021-05-16,2022 카타르 월드컵 2차 예선전 北 불참 최종 확인(아시아축구연맹(AFC) 홈페이지)
2020년대,2021-06-24,"화살머리고지 우리 측 지역 유해발굴('19.4.1~'21.6.24) 종료, 424구 발굴"
2020년대,2021-07-13,"北, 유엔 고위급 정치포럼(HLPF)에서 '자발적 국가별 검토보고서(VNR)' 발표(현지시간)"
2020년대,2021-07-27,남북 간 통신 연락선 복원(청와대 국민소통수석 브리핑)
2020년대,2021-07-27,"北, 통신연락선 복원 보도(중통)"
2020년대,2021-07-29,"우리 측, 영상회담 시스템 구축 대북 제안"
2020년대,2021-08-10,"北, 남북통신연락선(남북공동연락사무소, 군통신선) 미응답"
2020년대,2021-09-08,"IOC집행위원회, 북한 올림픽위원회 자격을 '22년말까지 정지(현지 시간)"
2020년대,2021-09-17,남북 유엔 동시 가입 30주년
2020년대,2021-10-04,"北, 09시부터 모든 남북통신연락선 복원 발표(조동, 중통)"
2020년대,2021-10-28,"대통령, G20 정상회의 계기 유럽 순방, 프란치스코 교황 예방(10.29, 로마, 현지시간)-교황님 북한 방문 요청"
2020년대,2021-11-17,"유엔총회 제3위원회, 북한인권결의안 채택(현지시간)"
2020년대,2021-11-20,'DMZ 평화의 길' 7개 테마 노선 우선 개방
2020년대,2021-11-30,판문점 견학 재개
2020년대,2021-12-06,"유엔총회, 북한 핵, 미사일 관련 결의안 3건 채택(현지시간) △'핵무기 없는 세상을 향한 공동 행동과 미래지향 대화 결의안' △'핵무기 없는 세계를 향한 결의안' △'포괄적핵실험금지조약(CTBT) 결의안' 채택"
2020년대,2021-12-16,"유엔총회 본회의, 북한인권결의안 채택(현지시간)"
