document_id,title,agreement_date,source_url,original_filename,content_empty,warning
agreement:7e945751266a36c0d34b3f473d88ffb3602f171a04cfc4e51598f8f837e87a11,남북경제협력추진위원회 제1차 회의 합의문(2001.1.30),2001-01-30,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=73,H-063.hwp,False,
agreement:408899837973594bbebd7e2ee7855b04f76f2b75d14ee0572c38a08739fb8547,남북경제협력추진위원회 구성.운영에 관한 합의서(2001.1.30),2001-01-30,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=74,h-064.hwp,False,
agreement:289e58b3e462ee6c4259a4333ecc2ea172e593df941c7c0688d1c9eeceb1e55a,남북 사이의 상사분쟁해결절차에 관한 합의서(2000.12.16),2000-12-16,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=90,H-062.hwp,False,
agreement:dcb926a4d9387ef7565145a0f106d348c34c3880e6c12054a52e87d8023f2d10,남북 사이의 소득에 대한 이중과세방지 합의서(2000.12.16),2000-12-16,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=89,H-060.hwp,False,
agreement:c1baeb22f030f608de89b4fc526279ded23cccb75c6eb94ba2f7aeaa1c7a914f,남북 사이의 투자보장에 관한 합의서(2000.12.16),2000-12-16,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=88,H-059.hwp,False,
agreement:4bc582120c6b5dba01750f86ceedcd202088f9aa8fbaee1f28a7a3678cd36d13,남북 사이의 청산결제에 관한 합의서(2000.12.16),2000-12-16,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=91,H-061.hwp,False,
agreement:cc5e5dc76eb2b29b6c486a8ce2e995f74331b073e9f38979497ca1cd7513af37,남북간 식량차관 인도·인수절차 일부수정 합의서(2000.11.11),2000-11-11,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=209,001111 남북간 식량차관 인도 인수절차 일부수정 합의서.hwp,False,
agreement:e63cb8548d1fd3473f412e2cf5b780afe9bf2f6e279a7140c52311bf13d81a83,제2차 남북적십자회담 합의서(2000.9.23),2000-09-23,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=101,H-029.hwp,False,
agreement:160a9330453597e2a3809fea6b2d2234825f267af1146a6ed392a2358c275927,"제1차 남북적십자회담 합의서(남북이산가족방문단 교환과 면회소 설치.운영 및 비전향장기수 송환에 관한 합의서, 2000.6.30)",2000-06-30,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=100,H-028.hwp,False,
agreement:c13a4d100006ba25292b9a3c082d5b7f5bef27b39dd81cbb998f382ef34171d9,6.15 남북공동선언(2000.6.15),2000-06-15,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=18,H-05.hwp,False,
agreement:dbb8fb5e3c02e9601f4dc57ab6618bbcdc366dc56ec5839af124ca5597d77477,남북 사이의 화해와 불가침 및 교류.협력에 관한 합의서의 제3장 남북교류.협력의 이행과 준수를 위한 부속 합의서(1992.9.17),1992-09-17,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=46,H-012.hwp,False,
agreement:d9262810aa48246620ec5ae52471cdb849b7ef483ff38660def59e912dce8005,남북사이의 화해와 불가침 및 교류.협력에 관한 합의서의 제1장 남북화해의 이행과 준수를 위한 부속합의서(1992.9.17),1992-09-17,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=43,H-010.hwp,False,
agreement:6fc3baad9ad343d5ca54179a1029ea480317f22e97343887a19bbbb21f551d9a,남북화해공동위원회 구성.운영에 관한 합의서(1992.9.17),1992-09-17,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=44,H-013.hwp,False,
agreement:3ee6bf9688fe9f9d8d1b93ea677bfa93a33ac6588ee6b40eab9945e252bbf1f5,남북 사이의 화해와 불가침 및 교류.협력에 관한 합의서의 제2장 남북 불가침의 이행과 준수를 위한 부속 합의서(1992.9.17),1992-09-17,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=45,H-011.hwp,False,
agreement:43d77373fd114d32806f5dfecb6035fbe8605a5679318555e99a824c6733f431,남북고위급회담 분과위원회 구성.운영에 관한 합의서(1992.2.19),1992-02-19,https://dialogue.unikorea.go.kr/ukd/c/ca/usrtalkmanage/View.do?tab=5&agreement_type=01&id=36,H-09.hwp,False,
